City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
201,Ulladulla,0,AU,1612480221,83,-35.35,150.4667,77.0,12.57
202,Bacolod City,57,PH,1612480221,84,10.6667,122.95,77.29,13.24
203,Opuwo,55,NA,1612480221,34,-18.0607,13.84,73.22,4.52
204,Kyren,97,RU,1612480221,87,51.6828,102.1408,11.98,1.99
205,Upernavik,33,GL,1612480221,69,72.7868,-56.1549,-8.16,4.54
206,Berlevåg,75,NO,1612480221,80,70.8578,29.0864,28.4,25.32
207,Vardø,90,NO,1612480221,93,70.3705,31.1107,23.0,17.27
208,La Ronge,40,CA,1612480222,71,55.1001,-105.2842,-0.4,4.61
209,Portland,90,US,1612480222,87,45.5234,-122.6762,46.0,5.75
210,Necochea,0,AR,1612480222,86,-38.5473,-58.7368,64.99,1.01
211,Santander Jiménez,0,MX,1612480222,43,24.2167,-98.4667,85.24,8.95
212,Santa Lucía,75,ES,1612480222,72,27.9117,-15.5407,63.0,11.5
213,Nouadhibou,40,MR,1612479975,88,20.931,-17.0347,64.4,9.22
214,Lebu,0,CL,1612480222,65,-37.6167,-73.65,67.08,3.8
215,Ventspils,0,LV,1612480223,100,57.3894,21.5606,15.8,2.3
216,Vila Franca do Campo,40,PT,1612479958,67,37.7167,-25.4333,55.4,14.97
217,Fukuechō,36,JP,1612480223,50,32.6881,128.8419,49.33,5.14
218,Cabo San Lucas,20,MX,1612480223,30,22.8909,-109.9124,86.0,8.05
219,Sebring,1,US,1612480223,21,27.4956,-81.4409,68.0,3.44
220,Aljezur,98,PT,1612480223,100,37.3191,-8.8033,53.01,3.0
221,Lompoc,1,US,1612480223,51,34.6391,-120.4579,62.6,16.11
222,Ponta do Sol,95,PT,1612480224,63,32.6667,-17.1,50.0,1.99
223,Kirensk,100,RU,1612480224,92,57.7853,108.1119,1.63,1.88
224,Henties Bay,56,NA,1612480224,84,-22.116,14.2845,64.99,1.01
225,Bāndīkūi,45,IN,1612480224,90,27.05,76.5667,50.25,4.59
226,Panabá,57,MX,1612480224,65,21.2833,-88.2667,76.57,8.19
227,São Gabriel da Cachoeira,100,BR,1612480224,96,-0.1303,-67.0892,76.41,2.13
228,Klaksvík,40,FO,1612480023,69,62.2266,-6.589,33.8,19.57
229,Khanbari,0,NP,1612480225,46,27.3747,87.2039,50.65,2.75
230,Sauk Rapids,1,US,1612480225,62,45.5919,-94.1661,14.0,17.27
231,Svrljig,0,RS,1612480225,87,43.4133,22.1211,44.6,4.61
232,Capitán Bado,72,PY,1612480225,87,-23.2667,-55.5333,70.84,6.2
233,Naranjal,75,EC,1612480225,78,-2.6667,-79.6167,80.6,8.05
234,Mahon,90,ES,1612480225,100,39.8885,4.2658,51.8,5.75
235,Kavieng,99,PG,1612480226,75,-2.5744,150.7967,83.44,7.27
236,Galveston,75,US,1612480226,78,29.3669,-94.9669,72.0,9.22
237,Chancay,0,PE,1612480226,68,-11.5714,-77.2672,73.99,11.5
238,Alvarães,20,BR,1612480226,79,-3.2208,-64.8042,84.2,3.44
239,Tiksi,100,RU,1612480226,88,71.6872,128.8694,-21.93,7.36
240,Pevek,0,RU,1612480218,78,69.7008,170.3133,-12.44,12.91
241,Bud,100,US,1612480227,95,39.447,-86.1758,35.01,19.95
242,Chui,56,UY,1612480227,82,-33.6971,-53.4616,64.94,13.31
243,Grand Gaube,11,MU,1612480227,74,-20.0064,57.6608,79.0,5.01
244,Guaratuba,40,BR,1612480227,94,-25.8828,-48.5747,79.0,4.61
245,Ambon City,40,ID,1612480227,94,-3.6954,128.1814,77.0,4.61
246,Tomatlán,0,MX,1612480228,37,19.9333,-105.25,85.46,5.84
247,Taoudenni,28,ML,1612480228,19,22.6783,-3.9836,71.85,7.0
248,Dehlorān,100,IR,1612480228,26,32.6941,47.2679,67.01,7.76
249,Barabai,88,ID,1612480168,95,-2.5833,115.3833,73.89,2.64
250,Ketchikan,90,US,1612480228,100,55.3422,-131.6461,41.0,1.16
251,Grindavik,75,IS,1612480229,87,63.8424,-22.4338,37.4,27.63
252,Arkhara,85,RU,1612480229,86,49.4212,130.0842,-20.97,4.65
253,Norden,100,DE,1612480229,91,53.6,7.2,33.01,1.99
254,Kavaratti,70,IN,1612480229,74,10.5669,72.642,80.69,7.07
255,Huangnihe,13,CN,1612480229,91,43.5583,128.0239,1.11,1.63
256,Santa Vitória do Palmar,41,BR,1612480229,81,-33.5189,-53.3681,64.51,13.09
257,Cairns,40,AU,1612480229,78,-16.9167,145.7667,87.01,5.41
258,Øksfjord,90,NO,1612480230,69,70.2396,22.3479,30.2,14.97
259,Dhidhdhoo,99,MV,1612480013,67,6.8833,73.1,81.16,4.07
260,Saint Anthony,75,US,1612480106,62,45.0205,-93.218,19.4,13.8
261,Sobolevo,100,RU,1612480230,95,54.4299,31.8996,8.55,13.2
262,Saint-Joseph,75,RE,1612479935,69,-21.3667,55.6167,80.6,4.61
